73,Kongsvinger komm. kino,Fjellgata 2,2226,Kongsvinger,stig.fonas@kongsvinger.kommune.no
74,Kragerø biograf,Gamle Kragerøvei 4,3770,Kragerø,harald.bothner@kragero.kommune.no
75,Kristiansand Kino Fønix,Postboks 356,4663,Kristiansand,kenneth.aslaksen@krskino.no
76,Kristiansund: Norsk kino,Konsul Knudtzons gate 4 ,6509,Kristiansund,jarle@norsk-kino.no
77,Kvam kino,Postboks 201,5602,Norheimsund,mars@kvam.kommune.no
78,Kvinesdal Kino,Nesgata 11,4480,Kvinesdal,jan.schou@kvinesdal.kommune.no
79,Kvinnherad komm. kino,Boks 121,5480,Kvinnherad,terje.fonneland@kvinnherad.kommune.no
80,Lakselv Komm. Kino,Kikevn. 28,9700,Lakselv,ida@pias.no
81,"Larvik, Bølgen Kulturhus",Sanden 2,3255,Larvik,lasse@kulturhusetbolgen.no
82,Levanger: Festiviteten kino,Kirkegata 18,7601,Levanger,festiviteten@levanger.kommune.no
83,Lillehammer Kino,Kirkegaten 69,2626,Lillehammer,Mari.Norstegard.Tomren@lillehammer.kommune.no
84,Lillesand: eTeateret Lillesand,Børge Trulssøns gata 7,4790,Lillesand,elisabeth.dahl@lillesand.kommune.no
85,Lillestrøm: SF Kino A/S,Brøtergata 4c,2000,Lillestrøm,lars.fuglevik@sf-kino.no
86,Lofthus: Krossvoll kino,Krossvoll,5781,Lofthus,krossvoll.kino@lofthus.no
87,Longyearbyen Kino,Pb 350,9171,Longyearbyen,rogerzoe@lokalstyre.no
88,Lund kino,Stasjonsveien 5,4046,Moi,gunnar@lund.kommune.no
89,Lyngdal Kino,Grønndokka 4,4580,Lyngdal,odd-ivar.knutsen@lyngdal.kommune.no
90,Lærdal komm. kino,Øyraplassen 7,4580,Lærdal,oyvihamr@broadpark.no
91,Lødingen kino,Stakeveien 1,8411,Lødingen,knut.blengsli@lodingen.kommune.no
92,Lørenskog Kino,Skårersletta 67,1473,Skårer,steinar.tveiten@lorenskog.kommune.no
93,Mandal: Buen Kino,Havnegt. 2 Buen,4515,Mandal,alf@buenkulturhus.no
94,Melhus komm. kino,Rådhusveien 2,7084,Melhus,marit.grendal@melhus.kommune.no
95,Modum Kino ,Rådhusveien 1,3370,Vikersund,christensen@modum.kommune.no
96,Molde kino AS,Godtfred Lies pl. 1,6415,Molde,edgar@moldekino.no
97,Mosjøen kino,Kinoplassen 2 ,8656,Mosjøen,per.breirem@vefsn.kommune.no
98,Moss: SF Kino A/S,Fossen 21-22,1530,Moss,lars.fuglevik@sf-kino.no
99,Målselv: Skjold Kino,Kantinebygg,9334,Øverbygd,kellewsen@fms.mil.no
100,Måløy komm. kino,"Gate 1, Nr. 53",6700,Måløy,eli@norsk-kino.no
101,Namsos Komm. Kino,Abel Meyers gt. 12,7800,Namsos,ingeborg.flornes@namsos.kommune.no
102,Narvik Kino,Kongensgate 47,8505,Narvik,david@aurorakino.no
103,Nesbyen: Nes kino,Rukkedalsveien 46,3540,Nesbyen,tor.lysfjord@nes-bu.kommune.no
104,Nome Kino,Ringsevja 30,3830,Ulefoss ,birte.nesteng@nome.kommune.no
105,Nordkapp Komm. Kino,Rådhusgt. 12,9750,Honningsvåg,edelh.ingebrigtsen@nordkapp.kommune.no
106,Nord-Odal komm. kino,Herredsveien 2,2120,Sagstua,tnilsen@nord-odal.kommune.no
107,Nordreisa komm. kino,Sentrum 17,9156,Storslett,herdis.lindbom@nordreisa.kommune.no
108,Notodden kino,Storgata 1,3674,Notodden,hilde.hem@notodden.kommune.no
109,Odda komm. kino,Oppheimsgt.,5750,Odda,bjorg.skogasel@odda.kommune.no
110,Oppdal Kino,Inge Krokannsvei 2,7340,Oppdal,morten.haagensen@oppdal.kommune.no
111,Orkdal komm. kino,Allfaveien 5,7300,Orkdal,arne.fagerholt@orkdal.kommune.no
112,"Oslo, Colosseum",Fr. Nansens vei 6,369,Oslo,erlend@oslokino.no
113,"Oslo, Colosseum ",Fr. Nansens vei 6,369,Oslo,erlend@oslokino.no
114,"Oslo, Gimle",Bygdøy allé 39,265,Oslo,erlend@oslokino.no
115,"Oslo, Kino Victoria",Ruseløkkveien 14,251,Oslo,erlend@oslokino.no
116,"Oslo, Klingenberg",Olav V's gt. 4,161,Oslo,erlend@oslokino.no
117,"Oslo, Ringen",Sannergata 6D,557,Oslo,erlend@oslokino.no
118,"Oslo, Saga Kino",Stortingsgt. 28,161,Oslo,erlend@oslokino.no
119,"Oslo, Symra",Cecilie Thoresens vei 23,1153,Oslo,erlend@oslokino.no
120,Otta kino,Botten Hansens gate 9 ,2670,Otta,knut.holen@sel.kommune.no
121,Porsangmoen mil. kino,Garnisonen i Porsanger,9709,Porsangmoen,ida@pias.no
122,Porsgrunn: Filmsentret Charlie,Storgata 143,3915,Porsgrunn,tom.andersen@porsgrunn.kommune.no
123,Rakkestad Kino,Rådhusveien 8,1890,Rakkestad,ingun.fjellstad@eidsberg.kommune.no
124,Ramberg: Lysbøen kino,Flakstad,8380,Ramberg,knutij@online.no
125,Rana komm. kino,Rådhusplassen 2,8622,Mo I Rana,kristin.kildal@rana.kommune.no
126,Rena: Åmot komm. kino,Rådhuset,2450,Rena,Yngve.Sekkelsten@amot.kommune.no
127,Rindal kino,Ridalshuset,6657,Rindal,mom@rindal.kommune.no
128,Risør komm. kino,Kragsgate.48 A,4950,Risør,birgitgade.hoksaas@risor.kommune.no
129,Rjukan: Verdensteateret,Storstulgata 1,3660,Rjukan,aage.hermanrud@tinn.kommune.no
130,Rødberg Kino,Liaveien 17 ,3630,Rødberg,hawetter@online.no
131,Røros Komm. Kino,"Storstuggu, Ol-Klemmetsaveien 50 ",7360,Røros,ane.linn.haagaas@roros.kommune.no
132,Salangen kommunale  kino,Herredshuset Sjøvegan ,9350,Sjøvegan,kurt-jan@salangen.kommune.no
133,"Sandefjord, Hjertnes kino",Sandefjordsveien 3,3208,Sandefjord,knut.kristoffersen@sandefjord.kommune.no
134,Sandnes: SF Kino,Vågsgt. 33,4305,Sandnes,stig.pedersen@sfkino-stavanger.no
135,Sandvika: SF Kino,Claude Monets alle 25 ,1338,Sandvika,sandvika@sf-kino.no
136,Sarpsborg: SF Kino,Kirkegata 49 ,1721,Sarpsborg,sarpsborg@sfkino.no
137,Sauda komm. kino,Pb. 44,4201,Sauda,gudrun.rueslatten@sauda.kommune.no
138,Setermoen mil. kino,Velferden Setermoen leir,9360,Bardu,kellewsen@fms.mil.no
139,Sirdal Komm. Kino,Sirdal Kulturhus,4440,Tonstad,anne.beth.fintland@sirdal.kommune.no
140,Ski Kinosenter,Åsenveien 2,1400,Ski,tony@skikino.no
141,Skien: SF Kino AS,Blekebakkvegen 5,3725,Skien,espen.raastad@sfkino.no
142,Skjervøy Kino,Strandvegen 39,9189,Skjervøy,audun.skog@skjervoy.kommune.no
143,Sogndal kino,Hovevegen,6851,Sogndal,tor@kulturhus.no
144,Sokndal komm. kino,Gamlevehen 20,4380,Hauge i Dalane,tobe@sokndal.kommune.no
145,Sortland komm. kino,Rådhus 1,8400,Sortland,rita.sundberg@sortland.kommune.no
146,Stavanger: SF Kino,Sølvberggata 2,4006,Stavanger,stig.pedersen@sfkino-stavanger.no
147,Steinkjer komm. Kino,Bogaveien 10,7725,Steinkjer,ketil.tronstad@steinkjer.kommune.no
148,Stjørdal Komm. Kino,Kjøpmannsgaten 11,7500,Stjørdal,brit.skogan@stjordal.kommune.no
149,Stokmarknes Kino,Hurtigrutens Hus ,8450,Stokmarknes,ketil.johnsen@hadsel.kommune.no
150,Stord komm. kino,Pb. 415,5403,Stord,kino@stord.kommune.no
151,Stor-Elvdal Komm. Kino,Storgata 120 ,2480,Koppang,janne.mellum@stor-elvdal.kommune.no
152,Storfjord kino/kulturhus,Øyna 1,6200,Stranda,kino@storkultur.no
153,Strand komm. kino,Pb. 115,4126,Strand,roger.nybroen@strand.kommune.no
154,Stryn kino,Kulturhuset,6783,Stryn,kariann.kaspersen@stryn.kommune.no
155,Suldal komm. kino,Kulturhuset i Suldal,4230,Sand,hanne.mette.birkeland@suldal.kommune.no
156,Sunndalsøra kino," Auragt. 2, ",6601,Sunndalsøra,marianne.furu.hoydal@sunndal.kommune.no
157,Surnadal Kulturhus ,Svartvassv. 1,6650,Surnadal,kino@surnadal-kulturhus.no
158,Svelgen kino,Gunnar Scheldrups vei 12,6723,Svelgen,samfunnshuset@svelgen.no
159,Svolvær Filmteater,Rådhuset,8300,Svolvær,hugo.fagermo@vagan.kommune.no
160,Sykkylven kino,Kykjevegen 62,6230,Sykkylven,halstein.kurseth@sykkylven.kommune.no
161,Sæbøvik: King Oscar,Sæbøvik,5484,Sæbøvik,jan.petter.myhre@skl.as
162,Søndre Land komm. kino,Hovsbakken 1 Rådhuset,2860,Hov,Tom.Lenes@sondre-land.kommune.no
163,Tana miljøbygg,Rådhusveien 24 ,9845,Tana,bill@tana.kommune.no
164,Tingvoll kino,Brygga,6630,Tingvoll,tingvoll.kino@gmail.com
165,Tomrefjord kino,Vik,6393,Tomrefjord,tomrefjordkino@mimer.no
166,Tromsø: Aurora Kino Fokus,Grønnegata 100,9008,Tromsø,david@aurorakino.no
167,Trondheim kino AS Prinsen,Prinsensgate 2b,7012,Trondheim,lisa@trondheimkino.no
168,Trysil Komm. Kino,Storvegen 5,2420,Trysil,eje@trysil.kommune.no
169,Tynset Kino,Tynset rådhus,2500,Tynset,else.nyheim@tynset.kommune.no
170,Tysvær komm. kino,Postboks 93,5575,Aksdal,oystein.simonsen@tysver.kommune.no
171,"Tønsberg, Kilden kino",Kilden 8,3117,Tønsberg,andre@norsk-kino.no
172,Tønsberg: SF Kino A/S,Nedre Langgate 32,3110,Tønsberg,lars.fuglevik@sf-kino.no
173,Uggdal: Grendatun kino,Oppdal Ungdomslag,5685,Uggdal,kino@grendatun.com
174,Ullensaker Kino,Furusethgata 12,2050,Jessheim,haakon.drage@ullensaker.kommune.no
175,Ulstein: Sjøborg kino ,"Sjøgata 10, ",6067,Ulsteinvik,kristine.brungot@ulstein.kommune.no
176,Ulvik komm. kino,Skeiesvegen 3,5730,Ulvik,anne.marit.lekve@ulvik.kommune.no
177,Vadsø Komm. Kino,Rådhusgt. 5,9800,Vadsø,randi.morso@vadso.kommune.no
178,Vardø Komm Kino,Kirkegata 4 ,9950,Vardø,david@aurorakino.no
179,Vennesla komm. kino,Herredshuset,4700,Vennesla,aslak.wegge@vennesla.kommune.no
180,Verdal: Norsk kino,Johannes Bruns gate 3 ,7650,Verdal,eli@norsk-kino.no
181,Vestvågøy: Origo kino,Origosenteret,8376,Leknes,paul-einar.olsen@vestvagoy.kommune.no
182,Vinstra Kino,Nedre gt. 42,2640,Vinstra,Per.Albin.Jorgensen@nord-fron.kommune.no
183,Volda Filmteater ,"Storgt. 14, ",6100,Volda,oroys@online.no
184,Voss kulturhus,Skulegata,5702,Voss,Ann.K.Atteras@voss.kommune.no
185,Vågå Kino,Vågå kino Kulturhuset,2680,Vågå,stein.holen@vaga.kommune.no
186,Ørland kultursenter,Yrjershall,7129,Brekstad,ragnar.jenssen@orland.kommune.no
187,Ørskog kino,Ørskog,6249,Ørskog,sigmund.braute@mimer.no
188,Ørsta komm. kino ,"Holmegata 7, ",6151,Ørsta,orstakino@kulturhus.no
189,Ål Komm. kino,Ål Kulturhus ,3570,Ål,tof@aal.kommune.no
190,Ålesund komm. Kinematografer Løvenvold ,Løvenvoldgata 11,6002,Ålesund,mariann@norsk-kino.no
191,Ålesund komm. Kinematografer Moa,Moa,6018,Ålesund,mariann@norsk-kino.no
192,Åndalsnes kino ,"Kongensgt 7, ",6300,Åndalsnes,marit.scheide@rauma.kommune.no
193,Årdal komm. Kino,Statsråd Evensens veg 6,6885,Årdalstangen,Gunnvor.Haug.Moen@ardal.kommune.no
194,Årnes Kino,Skolegata 10,2150,Årnes,jan.magne.hanstad@nes-ak.kommune.no
195,Ås Kinoteater,Moerveien 1,1430,Ås,Sveinung.Walengen@as.kommune.no
196,Støren,Basmoen 7,7290,Støren,atle.fredagsvik@midtre-gauldal.kommune.no
